5.0072 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
75.2530 	EXP 	fixation: autoDraw = False
75.2530 	EXP 	grating: autoDraw = True
75.2530 	EXP 	grating: tex = 'sin'
75.5211 	DATA 	Keypress: left
75.5226 	EXP 	window1: recordFrameIntervals = False
75.5368 	EXP 	fixation: autoDraw = False
75.5368 	EXP 	grating: autoDraw = False
75.5369 	EXP 	window1: recordFrameIntervals = False
76.5148 	EXP 	fixation: autoDraw = True
77.5257 	EXP 	fixation: autoDraw = False
77.5257 	EXP 	grating: autoDraw = True
77.5257 	EXP 	grating: tex = 'sin'
77.8265 	EXP 	grating: autoDraw = False
77.9452 	DATA 	Keypress: right
77.9472 	EXP 	window1: recordFrameIntervals = False
77.9603 	EXP 	fixation: autoDraw = False
77.9603 	EXP 	grating: autoDraw = False
77.9605 	EXP 	window1: recordFrameIntervals = False
78.9391 	EXP 	fixation: autoDraw = True
79.9485 	EXP 	fixation: autoDraw = False
79.9485 	EXP 	grating: autoDraw = True
79.9485 	EXP 	grating: tex = 'sin'
80.2498 	EXP 	grating: autoDraw = False
80.3350 	DATA 	Keypress: left
80.3370 	EXP 	window1: recordFrameIntervals = False
80.3499 	EXP 	fixation: autoDraw = False
80.3499 	EXP 	grating: autoDraw = False
80.3501 	EXP 	window1: recordFrameIntervals = False
81.3297 	EXP 	fixation: autoDraw = True
82.3385 	EXP 	fixation: autoDraw = False
82.3385 	EXP 	grating: autoDraw = True
82.3385 	EXP 	grating: tex = 'sin'
82.6393 	EXP 	grating: autoDraw = False
82.7093 	DATA 	Keypress: right
82.7247 	EXP 	window1: recordFrameIntervals = False
82.7396 	EXP 	fixation: autoDraw = False
82.7396 	EXP 	grating: autoDraw = False
82.7398 	EXP 	window1: recordFrameIntervals = False
83.7179 	EXP 	fixation: autoDraw = True
84.7281 	EXP 	fixation: autoDraw = False
84.7281 	EXP 	grating: autoDraw = True
84.7281 	EXP 	grating: tex = 'sin'
85.0290 	EXP 	grating: autoDraw = False
85.1975 	DATA 	Keypress: left
85.1991 	EXP 	window1: recordFrameIntervals = False
85.2117 	EXP 	fixation: autoDraw = False
85.2117 	EXP 	grating: autoDraw = False
85.2119 	EXP 	window1: recordFrameIntervals = False
86.1918 	EXP 	fixation: autoDraw = True
87.2017 	EXP 	fixation: autoDraw = False
87.2017 	EXP 	grating: autoDraw = True
87.2017 	EXP 	grating: tex = 'sin'
87.5017 	EXP 	grating: autoDraw = False
87.5544 	DATA 	Keypress: left
87.5565 	EXP 	window1: recordFrameIntervals = False
87.5692 	EXP 	fixation: autoDraw = False
87.5692 	EXP 	grating: autoDraw = False
87.5694 	EXP 	window1: recordFrameIntervals = False
88.5482 	EXP 	fixation: autoDraw = True
89.5580 	EXP 	fixation: autoDraw = False
89.5580 	EXP 	grating: autoDraw = True
89.5580 	EXP 	grating: tex = 'sin'
89.8585 	EXP 	grating: autoDraw = False
89.9941 	DATA 	Keypress: right
89.9961 	EXP 	window1: recordFrameIntervals = False
90.0092 	EXP 	fixation: autoDraw = False
90.0092 	EXP 	grating: autoDraw = False
90.0094 	EXP 	window1: recordFrameIntervals = False
90.9884 	EXP 	fixation: autoDraw = True
91.9966 	EXP 	fixation: autoDraw = False
91.9966 	EXP 	grating: autoDraw = True
91.9966 	EXP 	grating: tex = 'sin'
92.2986 	EXP 	grating: autoDraw = False
92.3659 	DATA 	Keypress: left
92.3674 	EXP 	window1: recordFrameIntervals = False
92.3821 	EXP 	fixation: autoDraw = False
92.3821 	EXP 	grating: autoDraw = False
92.3823 	EXP 	window1: recordFrameIntervals = False
93.3599 	EXP 	fixation: autoDraw = True
94.3708 	EXP 	fixation: autoDraw = False
94.3708 	EXP 	grating: autoDraw = True
94.3708 	EXP 	grating: tex = 'sin'
